Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,0.048312375909993384,3,0,0.31728085624321734,0.0,2.0,,7.054987864098535,,6,9,-0.3333333333333333,0.3622526356719539,,0,,,33,21959071,aldebaranbm,1970-01-01T01:00:00.000+01:00,2019-01-08T12:51:53.000+01:00
1,0.050102951269732326,8,1,0.45967803237436716,120.85714285714286,6.0,,5.343711958562947,0.0,14,22,-0.2727272727272727,0.2399795590541069,0.0,0,1,,12,9084941,rnbdsh,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.047310434219053794,2,1,0.5441709211207779,0.0,1.0,,5.408779405534552,0.0,0,2,1.0,0.2688315677798703,0.0,0,2,,13,432683,rbbernardino,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04939106901217862,8,0,0.7543485944109042,0.0,3.0,,6.866900957476882,,11,19,-0.15789473684210525,0.30856229334224444,,0,,,27,3139729,cardsurf,1970-01-01T01:00:00.000+01:00,2019-04-15T01:01:57.000+02:00
1,0.0497275204359673,4,0,0.5,25.925,4.0,,0.0,,13,17,-0.5294117647058824,0.5,,0,,,0,10137,ghost,1970-01-01T01:00:00.000+01:00,2018-10-13T17:29:04.000+02:00
0,0.05,11,9,0.3716873371111566,260.26666666666665,9.0,,5.698620028196675,0.0,0,11,1.0,0.2369214525905815,0.0,0,11,,8,4397312,icarter09,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.013513513513513514,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,53,2259575,oxoocoffee,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04743339831059129,3,0,0.4354488215331881,0.0,2.0,,5.133728707816057,,4,7,-0.14285714285714285,0.3079747895254499,,0,,,54,73755,bminer,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
1,0.04989747095010253,23,0,0.5,19.353571428571428,4.0,,0.0,,30,53,-0.1320754716981132,0.5,,0,,,34,7993570,Alan01,1970-01-01T01:00:00.000+01:00,2019-11-23T21:02:09.000+01:00
0,0.013513513513513514,2,0,0.9972810178752518,0.0,1.0,,6.645120617655002,,2,4,0.0,0.3449665286072122,,0,,,42,44762859,dshanks01,1970-01-01T01:00:00.000+01:00,2019-08-29T03:46:58.000+02:00
0,0.013513513513513514,3,0,0.2984312783388572,0.0,1.0,,7.241913548253123,,3,6,0.0,0.28650047633539044,,0,,,45,38849451,Padre2,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.048894842598794376,2,0,0.7027147270255278,0.0,2.0,,7.149989461988868,,4,6,-0.3333333333333333,0.2947481315272878,,0,,,52,1354519,Dragone2,1970-01-01T01:00:00.000+01:00,2019-10-27T19:58:10.000+01:00
0,0.04743339831059129,2,0,0.5236294069445259,0.0,2.0,,6.461278955746188,,3,5,-0.2,0.33417428141562366,,0,,,44,6375934,Sadi58,1970-01-01T01:00:00.000+01:00,2019-07-05T11:55:07.000+02:00
0,0.013513513513513514,4,0,0.5,0.0,1.0,,0.0,,4,8,0.0,0.5,,0,,,36,3099270,French77,1970-01-01T01:00:00.000+01:00,2019-11-27T23:18:47.000+01:00
0,0.047310434219053794,3,0,0.25395571783745197,0.0,2.0,,6.599042413813113,,4,7,-0.14285714285714285,0.2772554041618408,,0,,,21,9968138,Mintulix,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.046556122448979595,2,0,0.6401388967378917,0.0,2.0,,7.053738429500502,,3,5,-0.2,0.3181745847669865,,0,,,28,18121470,Marcosdw,1970-01-01T01:00:00.000+01:00,2017-11-29T19:29:32.000+01:00
0,0.04915824915824916,13,3,0.5091954512585258,165.41666666666666,4.0,,6.354890545568538,0.0,13,26,0.0,0.21643298001135275,0.0,3,4,,4,33965039,claudiux,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04837640821736249,3,1,0.17575696843997474,54.0,2.0,,6.380654409532823,0.0,3,6,0.0,0.27942891856657187,0.0,0,1,,11,1071625,real-or-random,1970-01-01T01:00:00.000+01:00,2018-05-25T20:28:23.000+02:00
0,0.049026192075218265,10,1,0.45221352263563624,107.0,3.0,,6.936026653269578,0.0,12,22,-0.09090909090909091,0.2733119643768964,0.0,0,1,,13,1300133,kelebek333,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
0,0.04837640821736249,5,1,0.3771851768004156,54.0,2.0,,6.2005840802052745,0.0,7,12,-0.16666666666666666,0.24227244904811737,0.0,0,1,,35,5958984,ChrisCheney,1970-01-01T01:00:00.000+01:00,2019-12-08T19:50:12.000+01:00
