Betweenness centrality oscillation,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,avg emotionality,average influence per message,Contribution index oscillation,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
0,0.01885621168619539,1,1,0.3287251630926518,0.0,1.0,,8.77131075996936,0.0,0,1,1.0,0.20114154956939637,0.0,0,1,,20,6953323,tobias47n9e,1970-01-01T01:00:00.000+01:00,2017-05-16T21:32:28.000+02:00
0,0.004149235891744216,1,1,0.543838229986871,0.0,1.0,,6.4391227167006635,0.0,0,1,1.0,0.27638689231913505,0.0,0,1,,8,35626789,MaartenLAB,1970-01-01T01:00:00.000+01:00,2019-06-15T10:21:58.000+02:00
0,0.018889925373134327,2,1,0.39135800184265906,0.0,1.0,,5.91357263334205,0.0,0,2,1.0,0.25486926769276247,0.0,0,1,,1,1094017,Timmythepirate,1970-01-01T01:00:00.000+01:00,2016-02-04T10:26:05.000+01:00
0,0.018897270394276383,1,0,0.5,196.64285714285714,4.0,,0.0,,4,5,-0.6,0.5,,0,,,101,22030217,Napaja,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,56,1011130,wolfpackmars2,1970-01-01T01:00:00.000+01:00,2017-06-06T21:28:24.000+02:00
0,0.018867924528301886,2,1,0.5352650274232917,0.0,1.0,,7.419632584060923,0.0,0,2,1.0,0.23495108295462697,0.0,0,2,,17,10543911,RyanNerd,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,2,0,0.4790620763515919,0.0,1.0,,9.334404420754025,,2,4,0.0,0.26344215420494604,,0,,,83,20264855,ttjimera,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019141394249704607,3,0,0.11953094270129336,89.26736596736598,3.0,,6.011816134583213,,5,8,-0.25,0.17823024952117475,,0,,,40,6018621,samiel60,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019145918688937915,4,3,0.4976684629435677,192.83333333333337,4.0,,5.495764401671497,0.0,2,6,0.3333333333333333,0.19400545010199313,0.0,2,2,,107,21159972,xenopeek,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01886353050768514,3,2,0.428685130967884,1.0,2.0,,5.781920921209586,0.0,0,3,1.0,0.2629410339316558,0.0,0,3,,38,8657255,brianally,1970-01-01T01:00:00.000+01:00,2017-11-25T23:32:09.000+01:00
0,0.00411522633744856,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,25,31203804,gkatev,1970-01-01T01:00:00.000+01:00,2017-09-05T09:21:10.000+02:00
0,0.01885621168619539,1,1,0.17745938170089615,0.0,1.0,,6.265055413208668,0.0,0,1,1.0,0.1619007481978226,0.0,0,1,,33,7573523,RecNes,1970-01-01T01:00:00.000+01:00,2017-12-13T03:56:23.000+01:00
0,0.01914441030489246,2,1,0.6875901549079932,0.0,2.0,,7.899250847503986,0.0,2,4,0.0,0.26402070724597715,0.0,2,1,,114,5932095,drbogi,1970-01-01T01:00:00.000+01:00,2018-02-12T03:40:56.000+01:00
0,0.019176136363636364,4,0,0.44245451836470917,661.4688644688644,7.0,,6.9395297151520605,,19,23,-0.6521739130434783,0.1859378442155686,,0,,,1,756669,Mailaender,1970-01-01T01:00:00.000+01:00,2017-02-07T10:38:05.000+01:00
0,0.01888845705402254,1,1,0.5098588397565964,0.0,1.0,,4.415650867680994,0.0,0,1,1.0,0.21249634488325486,0.0,0,1,,5,17831821,KamelAbdelouahab,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,157,1500959,richtrefz,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
2,0.01914441030489246,5,2,0.2719312986163346,1.6666666666666665,3.0,,5.593335207948045,0.0,6,11,-0.09090909090909091,0.22198038903574208,0.0,3,3,,14,3172687,gavinhoward,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.01833270463975858,1,1,0.6853423218989813,0.0,1.0,,6.205473540447179,0.0,0,1,1.0,0.21917568206049032,0.0,0,1,,6,41977288,gittingthehub,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.004149377593360996,1,0,0.5,3.0,4.0,,0.0,,4,5,-0.6,0.5,,0,,,8,17037513,scrognoid,1970-01-01T01:00:00.000+01:00,2019-06-15T10:21:58.000+02:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,151,19428176,muallimim,1970-01-01T01:00:00.000+01:00,2019-03-17T19:19:00.000+01:00
0,0.01885621168619539,1,1,0.9141366162335602,0.0,1.0,,8.36061393389507,0.0,0,1,1.0,0.31097572507361065,0.0,0,1,,19,21694871,UriShap,1970-01-01T01:00:00.000+01:00,2016-09-19T07:50:08.000+02:00
0,0.019150445267554574,1,0,0.5,0.0,3.0,,0.0,,3,4,-0.5,0.5,,0,,,68,19974947,anaconda69,1970-01-01T01:00:00.000+01:00,2018-07-31T10:10:31.000+02:00
0,0.019148936170212766,4,1,0.4846637228532657,5.0,3.0,,4.428775251630712,,6,10,-0.2,0.35321166547158866,,0,,,168,4353314,erdoking,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019153464175928114,1,0,0.5,88.46886446886444,3.0,,0.0,,4,5,-0.6,0.5,,0,,,36,1978777,muzena,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.018892862696314724,1,1,0.5427659032735408,0.0,1.0,,5.672829554686806,0.0,0,1,1.0,0.2366503412875209,0.0,0,1,,0,2989768,tpamula,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019141394249704607,2,0,0.3513362426293535,192.0,3.0,,7.8038709078423185,,5,7,-0.42857142857142855,0.23466088541806063,,0,,,20,28644218,ThrivingRhino,1970-01-01T01:00:00.000+01:00,2017-05-16T21:32:28.000+02:00
0,0.018882586059522883,3,1,0.06038495342103387,0.0,1.0,,5.520080790663093,0.0,0,3,1.0,0.24968621528948187,0.0,0,2,,2,9769460,TugaPowerROM,1970-01-01T01:00:00.000+01:00,2018-03-09T16:11:26.000+01:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,128,1084367,lehjr,1970-01-01T01:00:00.000+01:00,2017-02-20T22:30:47.000+01:00
0,0.004149235891744216,1,1,0.825335116933022,0.0,1.0,,6.347229327147692,0.0,0,1,1.0,0.1205513307551043,0.0,0,1,,8,710454,dino0815,1970-01-01T01:00:00.000+01:00,2019-06-15T10:21:58.000+02:00
0,0.004098360655737705,1,0,0.5,0.0,1.0,,0.0,,1,2,0.0,0.5,,0,,,44,622453,aldeano,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,1,0,0.5,0.0,2.0,,0.0,,2,3,-0.3333333333333333,0.5,,0,,,161,35967259,gemkibeju,1970-01-01T01:00:00.000+01:00,2018-11-03T09:16:29.000+01:00
0,0.019138379144679845,2,0,0.17612491239954922,0.0,2.0,,5.873359464967468,,4,6,-0.3333333333333333,0.19180526859814467,,0,,,50,7600641,maxheise,1970-01-01T01:00:00.000+01:00,2017-02-10T23:07:40.000+01:00
0,0.018864994953807935,1,1,0.35840747104537374,0.0,1.0,,6.75563656378743,0.0,0,1,1.0,0.18900380504662959,0.0,0,1,,18,13742679,shreyas1496,1970-01-01T01:00:00.000+01:00,2018-02-12T03:41:25.000+01:00
0,0.019171597633136094,1,0,0.5,327.73896103896084,6.0,,0.0,,6,7,-0.7142857142857143,0.5,,0,,,15,26103926,chillywings,1970-01-01T01:00:00.000+01:00,2019-06-15T15:53:40.000+02:00
0,0.01917008520037867,6,1,0.569989208365145,379.692673992674,4.0,,7.0166743368856315,0.0,9,15,-0.2,0.30919045145387863,0.0,1,1,,91,30070187,Bert-de-Jong,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
0,0.019138379144679845,3,0,0.1683409658613201,0.0,2.0,,5.63153598913568,,4,7,-0.14285714285714285,0.24566645530811754,,0,,,139,13141463,deadpixi,1970-01-01T01:00:00.000+01:00,2019-12-08T17:06:42.000+01:00
