Betweenness centrality oscillation,Alter Nudges,Closeness centrality,Messages sent,Reach forward 1,avg sentiment,Betweenness centrality,Alter ART [h],Degree centrality,most common words (influence),avg complexity,total influence,Messages received,Messages total,Contribution index,Ego ART [h],avg emotionality,average influence per message,Contribution index oscillation,Ego Nudges,messages sent (influence),most influential words,Community,Uuid,Name,Starttime,Endtime
1,,0.009230931532862117,5,4,0.7148516273945038,38.76511544011547,,5.0,applets; metadata; repo; cinnamon-settings; ,5.656772507210218,0.05367190190948762,1,6,0.6666666666666666,,0.34726321657213133,0.013417975477371905,1,,4,update; applets; applet; ,0,262776,mtwebster,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.009186351706036745,4,0,0.31046620719059065,0.0,,2.0,,5.517782169384016,,6,10,-0.2,,0.31399068757658755,,0,,,,193,2931266,brouillon,1970-01-01T01:00:00.000+01:00,2017-03-01T03:22:01.000+01:00
0,,0.009224443897810733,6,1,0.33876486276541506,0.0,,2.0,applet; applets; symptomps; server; ,6.322237166750573,0.4127641369308116,2,8,0.5,,0.2828718363166157,0.1031910342327029,0,,4,applet; ,1,55460,fahrinh,1970-01-01T01:00:00.000+01:00,2017-11-29T22:19:43.000+01:00
0,,0.009197133997862761,3,0,0.5275963500033676,0.0,,2.0,,6.546500674149419,,4,7,-0.14285714285714285,,0.2628827628786764,,0,,,,169,24412608,luerhard,1970-01-01T01:00:00.000+01:00,2018-10-06T17:06:47.000+02:00
0,,0.00918619096778709,2,1,0.12832412070481683,0.0,,1.0,,6.240545263998816,0.0,0,2,1.0,,0.3254872794285212,0.0,0,,2,,51,3675551,SteveEbey73742,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
13,,0.00926497838171711,195,34,0.48416408056098703,6376.0938493054555,,35.0,file; applet; everybody; folder; ,6.364396399454828,0.6165321369597626,134,329,0.18541033434650456,,0.24593810368756272,0.00868355122478539,8,,71,code; file; applet; strings; ,5,3822556,Odyseus,1970-01-01T01:00:00.000+01:00,2019-12-08T17:14:43.000+01:00
0,,0.0019011406844106464,3,0,0.5,0.0,,1.0,,0.0,,3,6,0.0,,0.5,,0,,,,129,2186245,acsdev,1970-01-01T01:00:00.000+01:00,2018-01-20T20:44:46.000+01:00
0,,0.009164862788911389,2,1,0.44986042042905594,0.0,,1.0,,5.952865284891291,0.0,0,2,1.0,,0.2673225252280022,0.0,0,,2,,4,962974,BWhitten,1970-01-01T01:00:00.000+01:00,2017-10-09T07:15:37.000+02:00
0,,0.009229957805907173,1,1,0.5,0.0,,1.0,,0.0,,0,1,1.0,,0.5,,0,,,,0,2761543,euxneks,1970-01-01T01:00:00.000+01:00,2017-08-17T10:58:06.000+02:00
0,,0.009158148135226599,2,1,0.3734891196981193,0.0,,1.0,,5.837877698797156,0.0,0,2,1.0,,0.26510872937951313,0.0,0,,2,,14,1622959,sagarbehere,1970-01-01T01:00:00.000+01:00,2017-07-03T09:46:24.000+02:00
