Name,UUID,Source,Target,Starttime,Endtime,Planned_Duration,Real_Duration,Status,Count_Subtasks,Count_Comments,Comment_Body,Edge_type
Feature Request: highlight selected word occurances,9726db86-6d29-45fc-85e2-8b1e9805ff2d,2989768,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,"From what I've noticed such a feature already exists in xed but has to be invoked manually. If you higlight a word and enter the search via ctrl+f or by clicking the search icon it highlights all the other occurrences by default.   It's not the same but pretty similar. Even if it doesn't suit your needs, you could have a look at the implementation of this feature - it might bring some inspiration.",COMMENT
Feature Request: highlight selected word occurances,f540cb51-a07c-448a-bed6-a88a57b0be23,6215449,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,"Yes, the gedit 2 plugin I referenced does exactly that, and I just happened to have implemented the exact same feature in another project this week. It should be fairly trivial (unless weird APIs or bugs get in the way...not uncommon).  But again, the Xed code is devoid of comments, so it's hard to even find the code related to regular search function, let alone plug in some code that piggy-backs on that. I believe the Mint maintainers ran some automated C reformatting scripts to clean up and re-structure the old gedit code when they forked Xed, but that's also wiped out a lot of (potentially) useful hints. That said (and having worked with decades old, incorrectly and outdated commented X11 and Gnome code), it may equally have been a good decision to lose the comments.  I'm just wishing for someone more intimate with the gedit/xed code to sprinkle a few comments here and there to get things started (and become more inviting to tinkering). For example a summary at the top of each source file which functionality can be found below would be a good start.",COMMENT
Feature Request: highlight selected word occurances,cfce407c-3b65-435c-b109-a4998661c5dc,4095021,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,This is now implemented. Closing...,COMMENT
Feature Request: highlight selected word occurances,7763a6ba-7fac-4cd6-8cce-d62376dc56c8,6215449,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,"Great, many thanks!  @collinss: could you point me to the commit that implements this? I'm still interested in the code (as mentioned in #252), but I can't find it. According to comments on StackOverflow, Github strangely doesn't seem to have commit log feature that can show a SVN-style overview of recent commits.",COMMENT
Feature Request: highlight selected word occurances,cee7e01b-4670-4449-b28a-e2d20e0ae0ce,4095021,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,"Hmm... I just reread your initial request, and apparently I misunderstood what you were asking for. Now I feel dumb. This feature actually hasn't been implemented. Reopening...",COMMENT
Feature Request: highlight selected word occurances,16e61fc3-bfef-45d1-8a36-365afa4aad00,6215449,6215449,2018-03-15T23:31:26.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,8,Oh bummer. But thanks anyway.,COMMENT
context menu leaves foreground black rectangle,c2983318-27e2-4d5f-a393-ba55d0f97f07,2231759,5819969,2018-02-28T05:45:23.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,2,You don't mention what Desktop environment you are running. I run Cinnamon and have never seen this issue.,COMMENT
context menu leaves foreground black rectangle,1b0de139-45a8-43c0-8b57-8d79c86aea5b,5819969,5819969,2018-02-28T05:45:23.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,2,"sorry - i'm on mate also, i'm using the nouveau driver 1.0.12-1build2 if that can make any difference ",COMMENT
Highlight as you type in Find hangs Xed,2ceea179-5abe-4564-a131-a23942d051a8,13907452,3799212,2018-01-17T10:58:12.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,4,"This bug makes using the search function unusable even for smaller files, like a 2 MB log file.",COMMENT
Highlight as you type in Find hangs Xed,6113dcd3-d739-4d15-b6f4-90e42b9ddf4f,3799212,3799212,2018-01-17T10:58:12.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,4,The bug still persists in Mint 19.,COMMENT
Highlight as you type in Find hangs Xed,c6c9bff7-3a00-4c92-8fb1-938733d1cf4f,3799212,3799212,2018-01-17T10:58:12.000+01:00,2019-12-08T17:06:42.000+01:00,,,open,,4,Still running into this issue with latest Mint.,COMMENT
